,Disease.ID,Disorder.name,Gene.symbols,OMIM.ID,Chromosome,Class,Final.Search,description
15,15,"""ABCD syndrome, 600501 (3)""","""EDNRB, HSCR2, ABCDS""",131244,13q22,multiple,ABCD syndrome,"ABCD syndrome is the acronym for albinism, black lock, cell migration disorder of the neurocytes of the gut, and sensorineural deafness. It has been found to be caused by mutation in the endothelin B receptor gene (EDNRB)."
16,17,"""Abetalipoproteinemia, 200100 (3)""",MTP,157147,4q22-q24,Metabolic,Abetalipoproteinemia,"Abetalipoproteinemia, or Bassen-Kornzweig syndrome, is a rare autosomal recessive disorder that interferes with the normal absorption of fat and fat-soluble vitamins from food. It is caused by a mutation in microsomal triglyceride transfer protein resulting in deficiencies in the apolipoproteins B-48 and B-100, which are used in the synthesis and exportation of chylomicrons and VLDL respectively. It is not to be confused with familial dysbetalipoproteinemia."
17,17,Abetalipoproteinemia (3),"""APOB, FLDB""",107730,2p24,Metabolic,Abetalipoproteinemia,"Abetalipoproteinemia, or Bassen-Kornzweig syndrome, is a rare autosomal recessive disorder that interferes with the normal absorption of fat and fat-soluble vitamins from food. It is caused by a mutation in microsomal triglyceride transfer protein resulting in deficiencies in the apolipoproteins B-48 and B-100, which are used in the synthesis and exportation of chylomicrons and VLDL respectively. It is not to be confused with familial dysbetalipoproteinemia."
18,18,"""Acampomelic campolelic dysplasia, 114290 (3)""","""SOX9, CMD1, SRA1""",608160,17q24.3-q25.1,Skeletal,Acampomelic campolelic dysplasia, 
19,21,Acatalasemia (3),CAT,115500,11p13,Hematological,Acatalasemia,
20,22,"""Accelerated tumor formation, susceptibility to (3)""",MDM2,164785,12q14.3-q15,Cancer,Accelerated tumor formation, 
21,24,"""Achalasia-addisonianism-alacrimia syndrome, 231550 (3)""","""AAAS, AAA""",605378,12q13,multiple,Achalasia-addisonianism-alacrimia syndrome, 
22,25,"""Acheiropody, 200500 (3)""","""C7orf2, ACHP, LMBR1""",605522,7q36,Skeletal,Acheiropody,
23,26,"""Achondrogenesis-hypochondrogenesis, type II, 200610 (3)""",COL2A1,120140,12q13.11-q13.2,Bone,Achondrogenesis-hypochondrogenesis, 
24,27,"""Achondrogenesis Ib, 600972 (3)""","""SLC26A2, DTD, DTDST, D5S1708, EDM4""",606718,5q32-q33.1,Bone,Achondrogenesis Ib, 
25,28,"""Achondroplasia, 100800 (3)""","""FGFR3, ACH""",134934,4p16.3,Skeletal,Achondroplasia,"Achondroplasia is a common cause of dwarfism. It occurs as a sporadic mutation in approximately 80% of cases (associated with advanced paternal age) or it may be inherited as an autosomal dominant genetic disorder.
People with achondroplasia have short stature, with an average adult height of 131 centimeters (52 inches) for males and 123 centimeters (48 inches) for females. Achondroplastic adults are known to be as short as 62.8 cm (24.7 in). If both parents of a child have achondroplasia, and both parents pass on the mutant gene, then it is very unlikely that the homozygous child will live past a few months of its life. The prevalence is approximately 1 in 25,000.
"
26,29,"""Achromatopsia-2, 216900 (3)""","""CNGA3, CNG3, ACHM2""",600053,2q11,Ophthamological,Achromatopsia-2, 
27,29,"""Achromatopsia-3, 262300 (3)""","""CNGB3, ACHM3""",605080,8q21-q22,Ophthamological,Achromatopsia-3, 
28,29,Achromatopsia-4 (3),"""GNAT2, ACHM4""",139340,1p13,Ophthamological,Achromatopsia-4, 
29,30,"""Acid-labile subunit, deficiency of (3)""","""IGFALS, ALS""",601489,16p13.3,Endocrine,Acid-labile subunit, 
30,31,"""Acquired long QT syndrome, susceptibility to (3)""","""KCNH2, LQT2, HERG""",152427,7q35-q36,Cardiovascular,Acquired long QT syndrome, 
31,32,"""Acrocallosal syndrome, 200990 (3)""","""GLI3, PAPA, PAPB, ACLS""",165240,7p13,multiple,Acrocallosal syndrome,"Acrocallosal syndrome (also known as ACLS) is a rare autosomal recessive syndrome characterized by corpus callosum agenesis, polydactyly, multiple dysmorphic features, motor and mental retardation, and other symptoms. The syndrome was first described by Albert Schinzel in 1979.
It is associated with GLI3."
32,33,"""Acrocapitofemoral dysplasia, 607778 (3)""","""IHH, BDA1""",600726,2q33-q35,Skeletal,Acrocapitofemoral dysplasia, 
33,34,"""Acrodermatitis enteropathica, 201100 (3)""","""SLC39A4, ZIP4""",607059,8q24.3,Dermatological,Acrodermatitis enteropathica,"Acrodermatitis enteropathica is an autosomal recessive metabolic disorder affecting the uptake of zinc, characterized by periorificial (around the natural orifices) and acral (in the limbs) dermatitis, alopecia (loss of hair), and diarrhea.
Similar features may be present in acquired zinc deficiency. This disease also is related to deficiency of zinc due to congenital causes.
Other names for acrodermatitis enteropathica include:
Brandt syndrome
Danboltâ€“Closs syndrome
Congenital zinc deficiency
^ Wang, K; Pugh, Ew; Griffen, S; Doheny, Kf; Mostafa, Wz; Al-Aboosi, Mm; El-Shanti, H; Gitschier, J (April 2001). ""Homozygosity mapping places the acrodermatitis enteropathica gene on chromosomal region 8q24.3"". American Journal of Human Genetics. 68 (4): 1055â€“60. doi:10.1086/319514. PMC 1275625. PMID 11254458. 
^ Stedman, Thomas Lathrop. 2005. Stedman's Medical Eponyms. Baltimore: Lippincott Williams & Wilkins, p. 170."
34,36,"""Acrokeratosis verruciformis, 101900 (3)""","""ATP2A2, ATP2B, DAR""",108740,12q23-q24.1,Dermatological,Acrokeratosis verruciformis,"Acrokeratosis verruciformis (also known as ""Acrokeratosis verruciformis of Hopf"" is a rare autosomal dominant disorder appearing at birth or in early childhood, characterized by skin lesions that are small, verrucous, flat papules resembling warts along with palmoplantar punctate keratoses and pits. However sporadic forms, whose less than 10 cases have been reported, presents at a later age, usually after the first decade and generally lack palmoplantar keratoses. Whether acrokeratosis verruciformis and Darier disease are related or distinct entities has been controversial, like Darier's disease, it is associated with defects in the ATP2A2 gene. however the specific mutations found in the ATP2A2 gene in acrokeratosis verruciformis have never been found in Darier's disease."
35,38,"""Acromegaly, 102200 (3)""","""GNAS, GNAS1, GPSA, POH, PHP1B, PHP1A, AHO""",139320,20q13.2,Endocrine,Acromegaly,"Acromegaly (/ËŒÃ_krÉ™ËˆmÉ›É¡É™li, -roÊ_-/; from Greek á_„ÎºÏÅÎ¿Î_ akron ""extremity"" and Î_Î_Î_Î± mega ""big, large"" (GEN Î_ÎµÎ_Î¬Î»Î¿Ï…)) is an extremely rare syndrome that results when the anterior pituitary gland produces excess growth hormone (GH) after epiphyseal plate closure at puberty. If GH is produced in excess prior to epiphyseal plate closure, the result is gigantism (or giantism). A number of disorders may increase the pituitary's GH output, although most commonly it involves a tumor called pituitary adenoma, derived from a distinct type of cell (somatotrophs).
Acromegaly most commonly affects adults in middle age, and can result in severe disfigurement and fatal complications if unchecked. Because of its pathogenesis and slow progression, it is hard to diagnose in the early stages and is frequently missed for years until changes in external features, especially of the face, become noticeable."
36,38,"""Acromegaly, 102200 (3)""",SSTR5,182455,16p13.3,Endocrine,Acromegaly,"Acromegaly (/ËŒÃ_krÉ™ËˆmÉ›É¡É™li, -roÊ_-/; from Greek á_„ÎºÏÅÎ¿Î_ akron ""extremity"" and Î_Î_Î_Î± mega ""big, large"" (GEN Î_ÎµÎ_Î¬Î»Î¿Ï…)) is an extremely rare syndrome that results when the anterior pituitary gland produces excess growth hormone (GH) after epiphyseal plate closure at puberty. If GH is produced in excess prior to epiphyseal plate closure, the result is gigantism (or giantism). A number of disorders may increase the pituitary's GH output, although most commonly it involves a tumor called pituitary adenoma, derived from a distinct type of cell (somatotrophs).
Acromegaly most commonly affects adults in middle age, and can result in severe disfigurement and fatal complications if unchecked. Because of its pathogenesis and slow progression, it is hard to diagnose in the early stages and is frequently missed for years until changes in external features, especially of the face, become noticeable."
37,39,"""Acromesomelic dysplasia, Hunter-Thompson type, 201250 (3)""","""GDF5, CDMP1""",601146,20q11.2,Skeletal,Acromesomelic dysplasia,"Acromesomelic dysplasia is a rare skeletal disorder that causes abnormal bone and cartilage development, leading to shortening of the forearms, lower legs, hands, feet, fingers, and toes. Five different genetic mutations have been implicated. Treatment is individualized but is generally aimed at palliating symptoms, for example, treatment of kyphosis and lumbar hyperlordosis."
38,39,"""Acromesomelic dysplasia, Maroteaux type, 602875 (3)""","""NPR2, ANPRB, AMDM""",108961,9p21-p12,Skeletal,Acromesomelic dysplasia,"Acromesomelic dysplasia is a rare skeletal disorder that causes abnormal bone and cartilage development, leading to shortening of the forearms, lower legs, hands, feet, fingers, and toes. Five different genetic mutations have been implicated. Treatment is individualized but is generally aimed at palliating symptoms, for example, treatment of kyphosis and lumbar hyperlordosis."
39,44,"""Acyl-CoA dehydrogenase, long chain, deficiency of (3)""","""ACADL, LCAD""",201460,2q34-q35,Metabolic,Acyl-CoA dehydrogenase,
40,44,"""Acyl-CoA dehydrogenase, medium chain, deficiency of, 201450 (3)""","""ACADM, MCAD""",607008,1p31,Metabolic,Acyl-CoA dehydrogenase,
41,44,"""Acyl-CoA dehydrogenase, short-chain, deficiency of, 201470 (3)""","""ACADS, SCAD""",606885,12q22-qter,Metabolic,Acyl-CoA dehydrogenase,
42,45,"""Adenocarcinoma of lung, response to tyrosine kinase inhibitor in, 211980 (3)""",EGFR,131550,7p12.3-p12.1,Cancer,Adenocarcinoma of lung,
43,45,"""Adenocarcinoma of lung, somatic, 211980 (3)""",BRAF,164757,7q34,Cancer,Adenocarcinoma of lung,
44,45,"""Adenocarcinoma of lung, somatic, 211980 (3)""","""ERBB2, NGL, NEU, HER2""",164870,17q21.1,Cancer,Adenocarcinoma of lung,
45,45,"""Adenocarcinoma of lung, somatic, 211980 (3)""","""PRKN, PARK2, PDJ""",602544,6q25.2-q27,Cancer,Adenocarcinoma of lung,
46,45,"""Adenocarcinoma, ovarian, somatic (3)""","""PRKN, PARK2, PDJ""",602544,6q25.2-q27,Cancer,Adenocarcinoma,"Adenocarcinoma (/ËŒÃ_dáµ»noÊ_kÉ‘Ëêrsáµ»ËˆnoÊ_mÉ™/; plural adenocarcinomas or adenocarcinomata /ËŒÃ_dáµ»noÊ_kÉ‘Ëêrsáµ»ËˆnoÊ_máµ»tÉ™/) is a type of cancerous tumor that can occur in several parts of the body. It is defined as neoplasia of epithelial tissue that has glandular origin, glandular characteristics, or both. Adenocarcinomas are part of the larger grouping of carcinomas, but are also sometimes called by more precise terms omitting the word, where these exist. Thus invasive ductal carcinoma, the most common form of breast cancer, is adenocarcinoma but does not use the term in its nameâ€”however, esophageal adenocarcinoma does to distinguish it from the other common type of esophageal cancer, esophageal squamous cell carcinoma. Several of the most common forms of cancer are adenocarcinomas, and the various sorts of adenocarcinoma vary greatly in all their aspects, so that few useful generalizations can be made about them.
In the most specific usage (narrowest sense), the glandular origin or traits are exocrine; endocrine gland tumors, such as a VIPoma, an insulinoma, or a pheochromocytoma, are typically not referred to as adenocarcinomas but rather are often called neuroendocrine tumors. Epithelial tissue sometimes includes, but is not limited to, the surface layer of skin, glands, and a variety of other tissue that lines the cavities and organs of the body. Epithelial tissue can be derived embryologically from any of the germ layers (ectoderm, endoderm, or mesoderm). To be classified as adenocarcinoma, the cells do not necessarily need to be part of a gland, as long as they have secretory properties. Adenocarcinoma is the malignant counterpart to adenoma, which is the benign form of such tumors. Sometimes adenomas transform into adenocarcinomas, but most do not.
Well differentiated adenocarcinomas tend to resemble the glandular tissue that they are derived from, while poorly differentiated adenocarcinomas may not. By staining the cells from a biopsy, a pathologist can determine whether the tumor is an adenocarcinoma or some other type of cancer. Adenocarcinomas can arise in many tissues of the body owing to the ubiquitous nature of glands within the body, and, more fundamentally, to the potency of epithelial cells. While each gland may not be secreting the same substance, as long as there is an exocrine function to the cell, it is considered glandular and its malignant form is therefore named adenocarcinoma."
47,46,"""Adenoma, periampullary (3)""","""APC, GS, FPC""",175100,5q21-q22,Cancer,Adenoma,"An adenoma (from Greek Î±Î´Î_Î_Î±Ï‚, adeno-, ""gland"" + -Ï_Î_Î±, -oma, ""tumor"") (/ËŒÃ_dáµ»ËˆnoÊ_mÉ™/; plural adenomas or adenomata /ËŒÃ_dáµ»ËˆnoÊ_máµ»tÉ™/) is a benign tumor of epithelial tissue with glandular origin, glandular characteristics, or both. Adenomas can grow from many glandular organs, including the adrenal glands, pituitary gland, thyroid, prostate, and others. Some adenomas grow from epithelial tissue in nonglandular areas but express glandular tissue structure (as can happen in familial polyposis coli). Although adenomas are benign, over time they may transform to become malignant, at which point they are called adenocarcinomas. Most adenomas do not transform. But even while benign, they have the potential to cause serious health complications by compressing other structures (mass effect) and by producing large amounts of hormones in an unregulated, non-feedback-dependent manner (causing paraneoplastic syndromes). Some adenomas are too small to be seen macroscopically but can still cause clinical symptoms."
48,47,"""Adenomas, multiple colorectal, 608456 (3)""",MUTYH,604933,1p34.3-p32.1,Cancer,Adenomas,
49,47,"""Adenomas, salivary gland pleomorphic, 181030 (3)""","""PLAG1, SGPA, PSA""",603026,8q12,Cancer,Adenomas,
50,47,Adenomatous polyposis coli (3),"""APC, GS, FPC""",175100,5q21-q22,Cancer,Adenomatous polyposis coli,"This article refers to the tumor suppressor APC, in which mutations lead to colon cancer. For the cell-cycle regulatory complex, APC/C, see Anaphase-promoting complex.
Adenomatous polyposis coli (APC) also known as deleted in polyposis 2.5 (DP2.5) is a protein that in humans is encoded by the APC gene. The APC protein is a negative regulator that controls beta-catenin concentrations and interacts with E-cadherin, which are involved in cell adhesion. Mutations in the APC gene may result in colorectal cancer.
APC is classified as a tumor suppressor gene. Tumor suppressor genes prevent the uncontrolled growth of cells that may result in cancerous tumors. The protein made by the APC gene plays a critical role in several cellular processes that determine whether a cell may develop into a tumor. The APC protein helps control how often a cell divides, how it attaches to other cells within a tissue, how the cell polarizes and the morphogenesis of the 3D structures, or whether a cell moves within or away from a tissue. This protein also helps ensure that the chromosome number in cells produced through cell division is correct. The APC protein accomplishes these tasks mainly through association with other proteins, especially those that are involved in cell attachment and signaling. The activity of one protein in particular, beta-catenin, is controlled by the APC protein (see: Wnt signaling pathway). Regulation of beta-catenin prevents genes that stimulate cell division from being turned on too often and prevents cell overgrowth.
The human APC gene is located on the long (q) arm of chromosome 5 in band q22.2 The APC gene has been shown to contain an internal ribosome entry site. APC orthologs have also been identified in all mammals for which complete genome data are available."
51,47,"""Adenomatous polyposis coli, attenuated (3)""","""APC, GS, FPC""",175100,5q21-q22,Cancer,Adenomatous polyposis coli,"This article refers to the tumor suppressor APC, in which mutations lead to colon cancer. For the cell-cycle regulatory complex, APC/C, see Anaphase-promoting complex.
Adenomatous polyposis coli (APC) also known as deleted in polyposis 2.5 (DP2.5) is a protein that in humans is encoded by the APC gene. The APC protein is a negative regulator that controls beta-catenin concentrations and interacts with E-cadherin, which are involved in cell adhesion. Mutations in the APC gene may result in colorectal cancer.
APC is classified as a tumor suppressor gene. Tumor suppressor genes prevent the uncontrolled growth of cells that may result in cancerous tumors. The protein made by the APC gene plays a critical role in several cellular processes that determine whether a cell may develop into a tumor. The APC protein helps control how often a cell divides, how it attaches to other cells within a tissue, how the cell polarizes and the morphogenesis of the 3D structures, or whether a cell moves within or away from a tissue. This protein also helps ensure that the chromosome number in cells produced through cell division is correct. The APC protein accomplishes these tasks mainly through association with other proteins, especially those that are involved in cell attachment and signaling. The activity of one protein in particular, beta-catenin, is controlled by the APC protein (see: Wnt signaling pathway). Regulation of beta-catenin prevents genes that stimulate cell division from being turned on too often and prevents cell overgrowth.
The human APC gene is located on the long (q) arm of chromosome 5 in band q22.2 The APC gene has been shown to contain an internal ribosome entry site. APC orthologs have also been identified in all mammals for which complete genome data are available."
52,49,"""Adenosine deaminase deficiency, partial, 102700 (3)""",ADA,608958,20q13.11,Immunological,Adenosine deaminase deficiency,"Adenosine deaminase deficiency, also called ADA deficiency or ADA-SCID, is an autosomal recessive metabolic disorder that causes immunodeficiency. It occurs in fewer than one in 100,000 live births worldwide.
It accounts for about 15% of all cases of severe combined immunodeficiency (SCID).
ADA deficiency may be present in infancy, childhood, adolescence, or adulthood. Age of onset and severity is related to some 29 known genotypes associated with the disorder.
"
53,50,"""Adenylosuccinase deficiency, 103050 (3)""",ADSL,608222,22q13.1,Metabolic,Adenylosuccinase deficiency,
54,52,Adiponectin deficiency (3),"""APM1, GBP28""",605441,3q27,Endocrine,Adiponectin deficiency, 
55,2053,"""Adrenal adenoma, sporadic (3)""",MEN1,131100,11q13,Cancer,Adrenal adenoma,"A adrenal adenoma is a benign tumor of the glandular type (adenoma) in the adrenal gland. While some adrenal adenomas do not secrete hormones at all (nonfunctional, often diagnosed incidentally as incidentalomas), some secrete cortisol (causing Cushing's syndrome), aldosterone (causing Conn's syndrome), or androgens (causing hyperandrogenism)."
56,2054,"""Adrenal cortical carcinoma, 202300 (3)""","""TP53, P53, LFS1""",191170,17p13.1,Cancer,Adrenal cortical carcinoma,
57,53,"""Adrenal hyperplasia, congenital, due to 11-beta-hydroxylase deficiency (3)""","""CYP11B1, P450C11, FHI""",202010,8q21,Endocrine,Adrenal hyperplasia,
58,53,"""Adrenal hyperplasia, congenital, due to 21-hydroxylase deficiency (3)""","""CYP21A2, CYP21, CA21H""",201910,6p21.3,Endocrine,Adrenal hyperplasia,
59,53,"""Adrenal hyperplasia, congenital, due to combined P450C17 and P450C21 deficiency, 201750 (3)""",POR,124015,7q11.2,Endocrine,Adrenal hyperplasia,
60,53,"""Adrenal hypoplasia, congenital, with hypogonadotropic hypogonadism, 300200 (3)""","""DAX1, AHC, AHX, NROB1""",300473,Xp21.3-p21.2,Endocrine,Adrenal hypoplasia,
61,2055,Adrenocortical insufficiency without ovarian defect (3),"""FTZF1, FTZ1, SF1""",184757,9q33,Endocrine,Adrenocortical insufficiency without ovarian defect, 
62,54,"""Adrenocortical tumor, somatic (3)""","""PRKAR1A, TSE1, CNC1, CAR""",188830,17q23-q24,Cancer,Adrenocortical tumor,
63,55,"""Adrenocorticotropic hormone deficiency, 201400 (3)""",TBS19,604614,1q23-q24,Endocrine,Adrenocorticotropic hormone deficiency,"Adrenocorticotropic hormone deficiency (ACTH deficiency) is a result of a decreased or absent production of adrenocorticotropic hormone (ACTH) by the pituitary gland.
It can be associated with TBX19."
64,56,"""Adrenoleukodystrophy, 300100 (3)""","""ABCD1, ALD, AMN""",300371,Xq28,Neurological,Adrenoleukodystrophy,"Adrenoleukodystrophy (/-ËŒlu-koÊ_-Ëˆdis-trÉ™-fiËê/; also known as X-linked adrenoleukodystrophy, ALD, X-ALD, Siemerlingâ€“Creutzfeldt disease or bronze Schilder disease) is a disease that is linked on the X chromosome. It is a result of fatty acid digestive enzymes not breaking up the fats. These fats build up in the brain. They damage the myelin that surrounds nerves. This can cause seizures and hyperactivity. It can also cause problems with speaking, listening and understanding verbal instructions.
In more detail, it is a disorder of peroxisomal fatty acid beta oxidation which results in the accumulation of very long chain fatty acids in tissues throughout the body. The most severely affected tissues are the myelin in the central nervous system, the adrenal cortex and the Leydig cells in the testes. Clinically, ALD is a heterogeneous disorder, presenting with several distinct phenotypes, and no clear pattern of genotype-phenotype correlation. As an X-linked disorder, ALD presents most commonly in males, however approximately 50% of heterozygote females show some symptoms later in life. Approximately two-thirds of ALD patients will present with the childhood cerebral form of the disease, which is the most severe form. It is characterized by normal development in early childhood, followed by rapid degeneration to a vegetative state. The other forms of ALD vary in terms of onset and clinical severity, ranging from adrenal insufficiency to progressive paraparesis in early adulthood (this form of the disease is typically known as adrenomyeloneuropathy).
ALD is caused by mutations in ABCD1, a gene located on the X chromosome that codes for ALD, a peroxisomal membrane transporter protein. The exact mechanism of the pathogenesis of the various forms of ALD is not known. Biochemically, individuals with ALD show very high levels of unbranched, saturated, very long chain fatty acids, particularly cerotic acid (26:0). The level of cerotic acid in plasma does not correlate with clinical presentation. Treatment options for ALD are limited. Dietary treatment is with Lorenzo's oil. For the childhood cerebral form, stem cell transplant and gene therapy are options if the disease is detected early in the clinical course. Adrenal insufficiency in ALD patients can be successfully treated. ALD is the most common peroxisomal inborn error of metabolism, with an incidence estimated between 1:18,000 and 1:50,000. It does not have a significantly higher incidence in any specific ethnic groups."
65,56,"""Adrenoleukodystrophy, neonatal, 202370 (3)""","""PEX10, NALD""",602859,Chr.1,Neurological,Adrenoleukodystrophy,"Adrenoleukodystrophy (/-ËŒlu-koÊ_-Ëˆdis-trÉ™-fiËê/; also known as X-linked adrenoleukodystrophy, ALD, X-ALD, Siemerlingâ€“Creutzfeldt disease or bronze Schilder disease) is a disease that is linked on the X chromosome. It is a result of fatty acid digestive enzymes not breaking up the fats. These fats build up in the brain. They damage the myelin that surrounds nerves. This can cause seizures and hyperactivity. It can also cause problems with speaking, listening and understanding verbal instructions.
In more detail, it is a disorder of peroxisomal fatty acid beta oxidation which results in the accumulation of very long chain fatty acids in tissues throughout the body. The most severely affected tissues are the myelin in the central nervous system, the adrenal cortex and the Leydig cells in the testes. Clinically, ALD is a heterogeneous disorder, presenting with several distinct phenotypes, and no clear pattern of genotype-phenotype correlation. As an X-linked disorder, ALD presents most commonly in males, however approximately 50% of heterozygote females show some symptoms later in life. Approximately two-thirds of ALD patients will present with the childhood cerebral form of the disease, which is the most severe form. It is characterized by normal development in early childhood, followed by rapid degeneration to a vegetative state. The other forms of ALD vary in terms of onset and clinical severity, ranging from adrenal insufficiency to progressive paraparesis in early adulthood (this form of the disease is typically known as adrenomyeloneuropathy).
ALD is caused by mutations in ABCD1, a gene located on the X chromosome that codes for ALD, a peroxisomal membrane transporter protein. The exact mechanism of the pathogenesis of the various forms of ALD is not known. Biochemically, individuals with ALD show very high levels of unbranched, saturated, very long chain fatty acids, particularly cerotic acid (26:0). The level of cerotic acid in plasma does not correlate with clinical presentation. Treatment options for ALD are limited. Dietary treatment is with Lorenzo's oil. For the childhood cerebral form, stem cell transplant and gene therapy are options if the disease is detected early in the clinical course. Adrenal insufficiency in ALD patients can be successfully treated. ALD is the most common peroxisomal inborn error of metabolism, with an incidence estimated between 1:18,000 and 1:50,000. It does not have a significantly higher incidence in any specific ethnic groups."
66,56,"""Adrenoleukodystrophy, neonatal, 202370 (3)""","""PEX13, ZWS, NALD""",601789,2p15,Neurological,Adrenoleukodystrophy,"Adrenoleukodystrophy (/-ËŒlu-koÊ_-Ëˆdis-trÉ™-fiËê/; also known as X-linked adrenoleukodystrophy, ALD, X-ALD, Siemerlingâ€“Creutzfeldt disease or bronze Schilder disease) is a disease that is linked on the X chromosome. It is a result of fatty acid digestive enzymes not breaking up the fats. These fats build up in the brain. They damage the myelin that surrounds nerves. This can cause seizures and hyperactivity. It can also cause problems with speaking, listening and understanding verbal instructions.
In more detail, it is a disorder of peroxisomal fatty acid beta oxidation which results in the accumulation of very long chain fatty acids in tissues throughout the body. The most severely affected tissues are the myelin in the central nervous system, the adrenal cortex and the Leydig cells in the testes. Clinically, ALD is a heterogeneous disorder, presenting with several distinct phenotypes, and no clear pattern of genotype-phenotype correlation. As an X-linked disorder, ALD presents most commonly in males, however approximately 50% of heterozygote females show some symptoms later in life. Approximately two-thirds of ALD patients will present with the childhood cerebral form of the disease, which is the most severe form. It is characterized by normal development in early childhood, followed by rapid degeneration to a vegetative state. The other forms of ALD vary in terms of onset and clinical severity, ranging from adrenal insufficiency to progressive paraparesis in early adulthood (this form of the disease is typically known as adrenomyeloneuropathy).
ALD is caused by mutations in ABCD1, a gene located on the X chromosome that codes for ALD, a peroxisomal membrane transporter protein. The exact mechanism of the pathogenesis of the various forms of ALD is not known. Biochemically, individuals with ALD show very high levels of unbranched, saturated, very long chain fatty acids, particularly cerotic acid (26:0). The level of cerotic acid in plasma does not correlate with clinical presentation. Treatment options for ALD are limited. Dietary treatment is with Lorenzo's oil. For the childhood cerebral form, stem cell transplant and gene therapy are options if the disease is detected early in the clinical course. Adrenal insufficiency in ALD patients can be successfully treated. ALD is the most common peroxisomal inborn error of metabolism, with an incidence estimated between 1:18,000 and 1:50,000. It does not have a significantly higher incidence in any specific ethnic groups."
